# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-09-21 13:58:58-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:34-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 6330
# number of attributes: 14778
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	AKT3 OPA1
GO:0010661	positive regulation of muscle cell apoptotic process	BNIP3 EIF5A HMGCR MAP2K4 MAP3K5 MAPK8 MFF PDCD4 SMAD4 TIGAR TRP53
GO:0010662	regulation of striated muscle cell apoptotic process	AMBRA1 BNIP3 EIF5A GATA4 HMGCR HSF1 HSPA8 JAK2 MAP3K5 MAPK8 MFF NACA NFE2L2 NPM1 PCMT1 PDPK1 QK SIRT1 SIRT4 SLC25A4 SMAD4 TIGAR TRP53
GO:0010663	positive regulation of striated muscle cell apoptotic process	BNIP3 EIF5A HMGCR MAP3K5 MAPK8 MFF SMAD4 TIGAR TRP53
GO:0010664	negative regulation of striated muscle cell apoptotic process	AMBRA1 GATA4 HMGCR HSF1 HSPA8 JAK2 NACA NFE2L2 NPM1 PCMT1 PDPK1 QK SIRT1 SIRT4 SLC25A4
GO:0010665	regulation of cardiac muscle cell apoptotic process	AMBRA1 BNIP3 EIF5A GATA4 HMGCR HSF1 HSPA8 JAK2 MAP3K5 MAPK8 MFF NFE2L2 NPM1 PCMT1 PDPK1 QK SIRT1 SIRT4 SLC25A4 SMAD4 TIGAR TRP53
GO:0010666	positive regulation of cardiac muscle cell apoptotic process	BNIP3 EIF5A HMGCR MAP3K5 MAPK8 MFF SMAD4 TIGAR TRP53
GO:0010667	negative regulation of cardiac muscle cell apoptotic process	AMBRA1 GATA4 HSF1 HSPA8 JAK2 NFE2L2 NPM1 PCMT1 PDPK1 QK SIRT1 SIRT4 SLC25A4
GO:0010669	epithelial structure maintenance	LDB1 LDB2 MKS1 NOD2 SRF STRAP ZFP830
GO:0010675	regulation of cellular carbohydrate metabolic process	ACACB ACADM ACTN3 AKT1 AKT2 ARFGEF1 ARPP19 CBFA2T3 CHP1 CLK2 DDIT4 DUSP12 EIF6 ESRRB FBP1 FOXO1 GCKR GFPT1 GOLGA2 GRB10 HDAC4 HIF1A HMGB1 KAT2A LCMT1 LEPR MAEA MIDN MIF MLXIPL MLYCD MTOR NCOA2 NCOR1 NLN NR1D1 OGT PDK1 PDK3 PGAM1 PHLDA2 PPP1CA PPP1CB PPP1R3D PRKAA1 PRKAA2 PRKG1 PTPN2 RANBP2 RGN RORA SIK1 SIRT1 SIRT6 SLC35B4 SLC45A3 SORBS1 STAT3 STK11 SUPT20 TIGAR TINF2 TMEM59 TRP53 WARS WDR5 XRCC1
GO:0010676	positive regulation of cellular carbohydrate metabolic process	ACTN3 AKT1 AKT2 ARPP19 DUSP12 ESRRB FOXO1 GCKR HIF1A HMGB1 KAT2A MIF MLXIPL PRKAA1 PRKAA2 PTPN2 RANBP2 RGN SIRT1 SLC45A3 SORBS1 STK11 SUPT20 TIGAR WDR5
GO:0010677	negative regulation of cellular carbohydrate metabolic process	ACTN3 CBFA2T3 CLK2 DDIT4 FBP1 GCKR GFPT1 GRB10 HDAC4 LEPR MAEA MIDN PRKG1 SIK1 SIRT6 STAT3 TIGAR
GO:0010692	regulation of alkaline phosphatase activity	PPARGC1B SEMA4D SMAD3 TGFB2
GO:0010693	negative regulation of alkaline phosphatase activity	SEMA4D TGFB2
GO:0010694	positive regulation of alkaline phosphatase activity	PPARGC1B SMAD3
GO:0010698	acetyltransferase activator activity	BCAS3 PDCD5
GO:0010705	meiotic DNA double-strand break processing involved in reciprocal meiotic recombination	BRIP1
GO:0010710	regulation of collagen catabolic process	ITGB1
GO:0010712	regulation of collagen metabolic process	EP300 ERRFI1 ITGB1 PPARD PPARG PRDX5 RAP1A SUCO TGFB3 VIM
GO:0010713	negative regulation of collagen metabolic process	ERRFI1 PPARD PPARG RAP1A
GO:0010714	positive regulation of collagen metabolic process	EP300 PRDX5 SUCO TGFB3 VIM
GO:0010715	regulation of extracellular matrix disassembly	CLASP1 CLASP2 DDR1 DDR2 PDPN SEMA5A TGFB2
GO:0010717	regulation of epithelial to mesenchymal transition	AXIN2 CLASP1 CLASP2 CTNNB1 DAB2 DACT3 DAG1 EFNA1 EPHA3 EZH2 FOXC1 HDAC2 LEF1 MAD2L2 MTOR PDPN POFUT2 PPP2CA SDCBP SDHAF2 SMAD2 SMAD3 SMAD4 SNAI1 STRAP TGFB2 TGFB3 TGFBR3 TIAM1 TSC2 ZFP703
GO:0010718	positive regulation of epithelial to mesenchymal transition	AXIN2 CTNNB1 DAB2 EZH2 FOXC1 HDAC2 LEF1 MTOR PDPN SDCBP SMAD2 SMAD3 SMAD4 SNAI1 TGFB2 TGFB3 ZFP703
GO:0010719	negative regulation of epithelial to mesenchymal transition	DACT3 EFNA1 MAD2L2 PPP2CA SDHAF2 STRAP TGFBR3 TSC2
GO:0010720	positive regulation of cell development	ABL1 ABL2 ACTN3 ACTR2 ACTR3 ADD1 ANAPC2 ANKRD27 AP2A1 APBB1 ARF1 ARHGAP35 ARPC2 ARSB ASPM ATF1 ATP6AP1 ATP8A2 ATXN1 AURKA AXIN2 BAIAP2 BMP5 BMP6 BMPR2 BNIP2 BRAF C1QBP CALR CAMK1D CAPRIN1 CAPRIN2 CASK CBFA2T2 CDH4 CDKL5 CFL1 CIB1 CNTN1 COBL CPEB1 CPEB3 CPNE9 CRABP2 CRK CRTC1 CSF1 CTNNB1 CUX1 CUX2 CYFIP1 DAB1 DAB2 DAG1 DDX56 DICER1 DISC1 DLG5 DMD DNM1L DNM2 DNMT3B DOCK1 DOCK5 DPYSL3 ECT2 EEF1A1 EEF2K EIF2B2 EIF4G1 ENPP2 EP300 EPHA3 EPHA4 ESRRB EZH2 FBXO31 FBXO38 FBXW8 FGFR1 FLNA FMR1 FOXC1 FYN GDI1 GLI2 GLI3 GOLGA2 GOLGA4 GPR68 GRN HDAC2 HIF1A HMG20B HNRNPK HSPA5 IGF1R IKBKB IL1RAP IL6ST IQGAP1 IST1 ITGB1 ITGB3 ITSN1 ITSN2 JADE2 KALRN KDM1A KDM2B KDM4A KIDINS220 KIF20B KIT LEF1 LIG4 LIMK1 LIMS1 LIN28A LLPH LRP6 LYN MAGI2 MAN2A1 MAP1B MAP2K1 MAPK6 MAPK8 MAPK8IP3 MARK2 MEGF8 MFN1 MIF MOB2 MTOR MUL1 MYO5B NCOA1 NCOA3 NDEL1 NDRG4 NEDD4L NET1 NF1 NFE2L2 NIN NIPBL NLGN1 NRG1 NRP1 NUMB OPA1 PACSIN1 PAFAH1B1 PAK1 PAX2 PDE3A PDPN PIAS2 PLAA PLXNB1 PLXNB2 PPARG PPP2R5D PREX1 PRKCI PRKD1 PRMT5 PRPF19 PSEN1 PTBP1 PTK2 PTPRA PTPRF QK RAB11A RAB21 RAC1 RAC3 RAP1A RAPGEF1 RAPGEF2 RELA RELN RHEB RHOA RIMS1 ROBO1 RPL4 RREB1 RRN3 RTN4 SDCBP SEMA4D SEMA5A SEMA6A SERPINE2 SERPINI1 SETX SHTN1 SIRT1 SLC25A4 SMAD2 SMAD3 SMAD4 SMURF1 SNAI1 SNW1 SOX8 SPEN SRF SRRT SS18L1 STAU2 STK11 STK24 STK25 SYNJ1 SYT1 TAOK2 TCF12 TCF3 TGFB2 TGFB3 TGIF2 TIAM1 TLE6 TNFSF11 TRAK1 TRIM32 TRIOBP TRP63 TRP73 TSC2 TUBB2B TWF2 UBE2V2 UFL1 VIM XRCC2 XRCC4 XRCC5 XRCC6 YAP1 ZFP335 ZFP609 ZFP703 ZMYND8
GO:0010721	negative regulation of cell development	ACTN4 ACTR3 ADAM17 ADGRG1 AP1AR APBB1 ARF6 ASAP1 ASPM B2M BCAR1 BMPR1A CALR CDK5 CDK5RAP2 CERS2 CIB1 CIT CNTN2 CNTN4 CORO1C CTDP1 CTNNA1 CTNNB1 DAB1 DAB2 DACT3 DGUOK DICER1 DNAJB11 DNM3 DPYSL3 DUSP10 DYNC1I2 EFNA1 EFNB2 EIF2AK4 EIF4E EIF4ENIF1 EPHA3 EPHA4 FLNA FMR1 FOXC1 FOXO3 G6PDX GDI1 GLI3 GNRH1 GSK3A HDAC2 HMG20A HOOK3 IFRD1 INPP5F INPPL1 ISL2 ITGB1 ITGB1BP1 JAG1 KATNA1 KDM1A KDM4A LBX1 LIN28A LRIG2 LRP1 LSM1 MAD2L2 MAP4K4 MDM2 MED1 NEO1 NF1 NLGN1 NR2E1 NRG1 NRP1 OLFM1 PAFAH1B1 PAK1 PAX2 PCM1 PPP2CA PPP3CA PRPF19 PSEN1 PTK2 PTPRG PTPRS RAPGEF2 RBPJ RCC2 REST RHOA RNF10 RTN4 RTN4R RYK S1PR3 SDHAF2 SEMA5A SHB SKI SNAPIN SORL1 SOX8 SPG20 STAT3 STRAP TERT TGFBR3 THOC2 TJP2 TRIM11 TRP53 TRP73 TSC1 TSC2 TTC3 UBE3A ULK1 VIM WEE2 ZFP706
GO:0010724	regulation of definitive erythrocyte differentiation	RBFOX2 SENP1
GO:0010725	regulation of primitive erythrocyte differentiation	KDM1A
GO:0010727	negative regulation of hydrogen peroxide metabolic process	STAT3
GO:0010728	regulation of hydrogen peroxide biosynthetic process	STAT3
GO:0010730	negative regulation of hydrogen peroxide biosynthetic process	STAT3
GO:0010732	regulation of protein glutathionylation	G6PDX
GO:0010734	negative regulation of protein glutathionylation	G6PDX
GO:0010735	positive regulation of transcription via serum response element binding	SRF
GO:0010736	serum response element binding	SRF
GO:0010737	protein kinase A signaling	LCP1 MROH2B TTN
GO:0010738	regulation of protein kinase A signaling	AIP AKAP1 AKAP11 AKAP12 AKAP7 MIF PJA2 RAMP3
GO:0010739	positive regulation of protein kinase A signaling	AKAP12 MIF RAMP3
GO:0010742	macrophage derived foam cell differentiation	EP300 PPARG SOAT1
GO:0010743	regulation of macrophage derived foam cell differentiation	ABCG1 CD36 CSF1 HBP1 ITGB3 LPL NFKBIA PPARG
GO:0010744	positive regulation of macrophage derived foam cell differentiation	CD36 CSF1 LPL
GO:0010745	negative regulation of macrophage derived foam cell differentiation	ABCG1 HBP1 ITGB3 NFKBIA PPARG
GO:0010746	regulation of plasma membrane long-chain fatty acid transport	AKT1 AKT2
GO:0010748	negative regulation of plasma membrane long-chain fatty acid transport	AKT1 AKT2
GO:0010749	regulation of nitric oxide mediated signal transduction	ATP2B4
GO:0010751	negative regulation of nitric oxide mediated signal transduction	ATP2B4
GO:0010755	regulation of plasminogen activation	CPB2 RUVBL1 SERPINE2
GO:0010756	positive regulation of plasminogen activation	RUVBL1
GO:0010757	negative regulation of plasminogen activation	CPB2 SERPINE2
GO:0010758	regulation of macrophage chemotaxis	CSF1 CYP19A1 KARS MAPK3 MIF MTUS1 PTPRJ
GO:0010759	positive regulation of macrophage chemotaxis	CSF1 KARS MAPK3 PTPRJ
GO:0010760	negative regulation of macrophage chemotaxis	CYP19A1 MIF
GO:0010761	fibroblast migration	ARID5B SYNE2 TMEM201 ZFAND5
GO:0010762	regulation of fibroblast migration	ACTR3 AKT1 BAG4 BRAF CORO1C D1ERTD622E DDR2 FER FGFR1 GNA12 ITGB1BP1 ITGB3 PAK1 PRR5L RAC1 RCC2 RFFL TSC2
GO:0010763	positive regulation of fibroblast migration	ACTR3 AKT1 BAG4 DDR2 FGFR1 ITGB3 PAK1 TSC2
GO:0010764	negative regulation of fibroblast migration	BRAF D1ERTD622E ITGB1BP1
GO:0010765	positive regulation of sodium ion transport	AKT1 AKT2 AKT3 ANK3 ARF1 ATP1B3 CHP1 CNTN1 DMD DNM2 GLRX GNAS GPD1L IKBKB NEDD4L NOS1 PLCB1 SLC9A1 TESC WNK2
GO:0010766	negative regulation of sodium ion transport	COMMD1 NEDD4 NEDD4L SERPINE2 WNK1
GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	CHEK1 TAF1
GO:0010769	regulation of cell morphogenesis involved in differentiation	ABL1 ACTN4 ACTR2 ACTR3 ADGRB3 ANAPC2 ANKRD27 AP1AR ARHGAP35 ARHGAP44 ARPC2 AXIN2 BAIAP2 BCAR1 BMPR2 BRAF C1QBP CALR CAPRIN1 CAPRIN2 CASK CDH2 CDH4 CDK5 CDKL5 CFL1 CHN1 CIB1 CIT CLASP1 CLASP2 CNTN2 CORO1C CRABP2 CRK CTNNB1 CTTN CUX1 CUX2 CYFIP1 DAB1 DAB2 DACT3 DAG1 DISC1 DNM1L DNM2 DNM3 DOCK1 DOCK5 EEF2K EFNA1 EIF2B2 ENPP2 EP300 EPHA3 EPHA4 EZH2 FBXO31 FBXW8 FLNA FOXC1 GDI1 GOLGA2 GOLGA4 HDAC2 IFRD1 IST1 ITGB1BP1 ITGB3 KALRN KIF13B LEF1 LIMK1 LIMS1 LZTS1 MAD2L2 MAP1B MAP2 MAP2K1 MARK2 MEGF8 MFN1 MTOR MYO5B NDEL1 NEDD4 NET1 NIN NLGN1 NR2E1 NRG1 NRP1 NUMB OLFM1 OPA1 PAFAH1B1 PAK1 PAX2 PDLIM5 PDPN PIAS2 PLXNA4 PLXNB1 PLXNB2 POFUT2 PPP2CA PPP3CA PREX1 PSEN1 PTK2 PTPRF PTPRS RAB11A RAB21 RAC1 RAC3 RAPGEF2 RCC2 RELN ROBO1 RPL4 RREB1 RTN4 RTN4R RYK SDCBP SDHAF2 SEMA4D SEMA5A SHTN1 SIPA1L1 SMAD2 SMAD3 SMAD4 SNAI1 SPG20 SRF SS18L1 ST6GAL1 STAU2 STK11 STK25 STRAP TAOK2 TGFB2 TGFB3 TGFBR3 TIAM1 TNIK TRAK1 TRIOBP TSC2 TTC3 TUBB2B TWF2 UBE3A ULK1 VIM WDR36 ZFP703
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	ABL1 ACTR2 ACTR3 ANAPC2 ANKRD27 ARPC2 AXIN2 BAIAP2 BMPR2 BRAF C1QBP CALR CAPRIN1 CAPRIN2 CASK CDH4 CDKL5 CIB1 CRABP2 CRK CTNNB1 CUX1 CUX2 CYFIP1 DAB2 DISC1 DNM1L DNM2 DOCK1 DOCK5 EEF2K EIF2B2 ENPP2 EP300 EPHA4 EZH2 FBXO31 FBXW8 FLNA FOXC1 GDI1 GOLGA2 GOLGA4 HDAC2 IST1 ITGB3 KALRN LEF1 LIMK1 LIMS1 MAP1B MAP2K1 MEGF8 MFN1 MTOR MYO5B NDEL1 NET1 NIN NRG1 NRP1 NUMB OPA1 PAFAH1B1 PAK1 PAX2 PDPN PIAS2 PLXNB1 PLXNB2 PREX1 PTPRF RAB11A RAB21 RAC1 RAC3 RELN ROBO1 RPL4 RREB1 RTN4 SDCBP SEMA4D SEMA5A SHTN1 SMAD2 SMAD3 SMAD4 SNAI1 SRF SS18L1 STAU2 STK11 STK25 TAOK2 TGFB2 TGFB3 TIAM1 TRAK1 TRIOBP TUBB2B TWF2 ZFP703
GO:0010771	negative regulation of cell morphogenesis involved in differentiation	ACTN4 ACTR3 AP1AR BCAR1 CDK5 CIT CORO1C CTNNB1 DAB1 DACT3 DNM3 EFNA1 GDI1 IFRD1 ITGB1BP1 MAD2L2 NLGN1 NRP1 PPP2CA PPP3CA PSEN1 PTK2 PTPRS RAPGEF2 RCC2 RTN4 RTN4R RYK SDHAF2 SEMA5A SPG20 STRAP TGFBR3 TSC2 TTC3 UBE3A ULK1
GO:0010792	DNA double-strand break processing involved in repair via single-strand annealing	RAD52 RBBP8 RNF138 SLX4
GO:0010793	regulation of mRNA export from nucleus	IWS1 SETD2 SUPT6 THOC2 ZC3H3
GO:0010796	regulation of multivesicular body size	RAB11A
GO:0010799	regulation of peptidyl-threonine phosphorylation	AXIN1 CAB39 DDIT4 EGF EIF4G1 GSK3A MAPK1 OGT PARD3 PHIP PLK1 RIPK2 SPRED2 TNKS1BP1 UBE2K
GO:0010800	positive regulation of peptidyl-threonine phosphorylation	AXIN1 CAB39 EGF GSK3A MAPK1 PHIP PLK1 RIPK2 TNKS1BP1 UBE2K
GO:0010801	negative regulation of peptidyl-threonine phosphorylation	DDIT4 EIF4G1 OGT PARD3 SPRED2
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	GAS6 PIAS4 PTPN2 RFFL TRAIP TRIM32
GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway	GAS6 PIAS4 PTPN2 RFFL TRAIP
GO:0010807	regulation of synaptic vesicle priming	NAPA RAB3GAP1 RIMS1 STXBP1 UNC13B
GO:0010808	positive regulation of synaptic vesicle priming	RIMS1 UNC13B
GO:0010810	regulation of cell-substrate adhesion	ABI3BP ABL1 ACTN4 AP1AR ARPC2 ATXN3 BCAR1 BCAS3 BRAF C1QBP CALR CAMSAP3 CASK CD36 CFL1 CIB1 CLASP1 CLASP2 CORO1C CRK CSF1 DAB2 DAG1 DAPK3 DDR1 DISC1 DMD DNM2 DOCK1 DOCK5 EGFL6 EMP2 ENPP2 EPHA3 FLNA FMN1 HOXA7 HSD17B12 IQGAP1 ITGA6 ITGB1 ITGB1BP1 ITGB3 JAK2 LDB1 LIMS1 MACF1 MINK1 MUC4 NET1 NF1 NINJ1 NRP1 PDPN PIK3CB PIK3R1 PREX1 PTK2 PTPRJ RAC1 RAC3 RASA1 RCC2 RHOA ROCK1 RREB1 RSU1 SLK SMAD3 SMOC2 ST6GAL1 TRIOBP TSC1 UTRN
GO:0010811	positive regulation of cell-substrate adhesion	ABI3BP ABL1 ARPC2 BRAF C1QBP CALR CD36 CFL1 CIB1 CRK CSF1 DAB2 DAG1 DISC1 DMD DNM2 DOCK1 DOCK5 EGFL6 EMP2 ENPP2 FLNA FMN1 HSD17B12 IQGAP1 ITGA6 ITGB1 ITGB1BP1 ITGB3 JAK2 LIMS1 NET1 NINJ1 NRP1 PREX1 PTPRJ RAC1 RAC3 ROCK1 RREB1 RSU1 SMAD3 SMOC2 TRIOBP TSC1 UTRN
GO:0010812	negative regulation of cell-substrate adhesion	ACTN4 AP1AR BCAR1 BCAS3 CASK CLASP2 CORO1C ENPP2 HOXA7 ITGB1BP1 MUC4 NF1 PIK3R1 RASA1 RCC2 RHOA
GO:0010813	neuropeptide catabolic process	CTSH ECE1
GO:0010814	substance P catabolic process	ECE1
GO:0010815	bradykinin catabolic process	CTSH ECE1
GO:0010816	calcitonin catabolic process	ECE1
GO:0010817	regulation of hormone levels	ABCB1A ACVR2B ALDH1A2 ATP6AP2 BMPR1B BTK CACNA1H CDK16 CRABP2 CYB5R4 CYP19A1 ECE1 ERO1LB ESR1 FDX1 FURIN GATA3 GCNT4 HSD17B4 HTT LY6E LYN MED1 MYO5A PARK7 PCLO PDX1 PLEKHA1 PTPN11 RAF1 RAPGEF4 RDH10 RDH12 RELN SAFB SCARB1 SCP2 SIN3A SLC18A2 SLCO4A1 SMAD2 SNAP23 SOX8 TIPARP TMF1 YWHAZ
GO:0010818	T cell chemotaxis	CXCR3
GO:0010819	regulation of T cell chemotaxis	ADAM10 ADAM17
GO:0010820	positive regulation of T cell chemotaxis	ADAM10 ADAM17
GO:0010821	regulation of mitochondrion organization	ACTL6A AKT1 ALKBH1 ATG7 ATP13A2 ATPIF1 BAG4 BAP1 BCL2L1 BIK BNIP3 BNIP3L C1QBP CDK5RAP1 CLEC16A COA3 CSNK2A2 CTTN DDHD1 DHODH DNM1L DPH6 FASTKD3 FBXO7 FIS1 FLCN GOLPH3 GPX1 GSK3A HIF1A HIGD1A HIP1R HNMT HTRA2 HTT HUWE1 KAT2A LEPROT LIG3 LMNA LRPPRC MFF MFN1 MICALL2 MIS18A MLLT11 MRPS27 MUL1 MYO19 NKAP NSUN3 NSUN4 OMA1 OPA1 PARL PDCD5 PID1 PLA2G6 POLR3A PRELID1 PSMB7 PSMD10 PSMD8 RPL28 RUVBL1 SAE1 SH3GLB1 SIRT4 SIVA1 SLC25A5 SLC35F6 SREBF1 STARD7 STOML2 TIGAR TMEM135 TMEM14A TRIAP1 TRMT10C TRP53 TSFM U2AF2 UBE2D3 UBE2L3 UBL5 UQCC1 USP30 USP36 VDAC1 VPS11 VPS35 WBP11 WDR75 ZBED3 ZDHHC8
GO:0010822	positive regulation of mitochondrion organization	ACTL6A ATPIF1 BAP1 BIK BNIP3 C1QBP CDK5RAP1 COA3 CSNK2A2 DDHD1 DNM1L DPH6 FASTKD3 FBXO7 FIS1 GSK3A HIF1A HIP1R HNMT HTRA2 HTT HUWE1 KAT2A LEPROT MFF MFN1 MICALL2 MIS18A MLLT11 MRPS27 MUL1 NKAP NSUN4 OPA1 PDCD5 PLA2G6 POLR3A PSMB7 PSMD8 RPL28 RUVBL1 SAE1 SH3GLB1 SIVA1 STARD7 STOML2 TRMT10C TRP53 U2AF2 UBE2D3 UBE2L3 UBL5 UQCC1 USP36 VPS11 VPS35 WBP11 WDR75 ZBED3 ZDHHC8
GO:0010823	negative regulation of mitochondrion organization	AKT1 ATG7 BAG4 BCL2L1 BNIP3 CLEC16A DNM1L FLCN GPX1 HIGD1A LIG3 LMNA MFN1 MUL1 OMA1 OPA1 PARL PID1 PRELID1 PSMD10 SIRT4 SLC25A5 SLC35F6 TIGAR TMEM14A TRIAP1 TRP53 USP30
GO:0010824	regulation of centrosome duplication	CCNF CDK5RAP2 CENPJ CEP120 CEP192 CEP76 CHMP1A CHMP2B CHMP3 CHMP5 CHORDC1 FBXW5 KIFC1 MDM1 NPM1 NUP62 PDCD6IP PKHD1 PLK4 POC1A RBM14 ROCK2 SPICE1 TMEM67 TRIM37 VPS4B XPO1 XRCC3
GO:0010825	positive regulation of centrosome duplication	CEP120 NPM1 NUP62 PLK4 POC1A ROCK2 VPS4B
GO:0010826	negative regulation of centrosome duplication	CCNF CDK5RAP2 KIFC1 MDM1 NPM1 RBM14 TMEM67 TRIM37
GO:0010827	regulation of glucose transport	AKT1 AKT2 APPL1 ASPSCR1 C2CD5 CAPN10 ESR1 GRB10 GSK3A LMBRD1 MIF NFE2L2 OPA1 OSBPL8 PAK1 PID1 PRKAA1 PRKCI PTPN11 RAP1A RASA1 REPIN1 RPS6KB1 SIRT6 SORBS1 TERT
GO:0010828	positive regulation of glucose transport	AKT1 AKT2 C2CD5 CAPN10 MIF NFE2L2 OPA1 OSBPL8 PAK1 PRKCI PTPN11 RAP1A RASA1 SORBS1 TERT
GO:0010829	negative regulation of glucose transport	ESR1 GRB10 GSK3A LMBRD1 PID1 PRKAA1 SIRT6
GO:0010830	regulation of myotube differentiation	ACTN3 BHLHE41 DAXX FLOT1 HDAC4 MAML1 MTOR NACA NLN RBM38 SIK1
GO:0010831	positive regulation of myotube differentiation	ACTN3 FLOT1 MAML1 MTOR
GO:0010832	negative regulation of myotube differentiation	BHLHE41 DAXX HDAC4
GO:0010833	telomere maintenance via telomere lengthening	DKC1 DNA2 HSP90AA1 HSP90AB1 PCNA PINX1 POT1A PTGES3 RAD50 RAD51 TERF1 TERT UPF1
GO:0010835	regulation of protein ADP-ribosylation	TINF2 WARS XRCC1
GO:0010836	negative regulation of protein ADP-ribosylation	TINF2 XRCC1
GO:0010837	regulation of keratinocyte proliferation	CASK CDH3 EFNB2 MED1 PRKD1 STXBP4 TRP63 YAP1 ZFP36
GO:0010838	positive regulation of keratinocyte proliferation	CDH3 STXBP4 TRP63
GO:0010839	negative regulation of keratinocyte proliferation	CASK EFNB2 MED1
GO:0010840	regulation of circadian sleep/wake cycle, wakefulness	NLGN1
GO:0010841	positive regulation of circadian sleep/wake cycle, wakefulness	NLGN1
GO:0010842	retina layer formation	ARL6 ATP8A2 HIPK2
GO:0010845	positive regulation of reciprocal meiotic recombination	UBE2B
GO:0010847	regulation of chromatin assembly	SPTY2D1 TPR
GO:0010848	regulation of chromatin disassembly	MAP1S
GO:0010858	calcium-dependent protein kinase regulator activity	CIB1 HMGB1
GO:0010859	calcium-dependent cysteine-type endopeptidase inhibitor activity	CAST
GO:0010861	thyroid hormone receptor activator activity	MED1 NCOA2
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation	ACVR1B BMP5 BMP6 BMPR1A BMPR2 CSNK2B DAB2 RBPMS SDCBP SMAD4 TGFB3
GO:0010863	positive regulation of phospholipase C activity	ABL2 ESR1 FGFR1
GO:0010866	regulation of triglyceride biosynthetic process	CNEP1R1 NR1H2 RGN SCARB1 SIK1 SREBF1
GO:0010867	positive regulation of triglyceride biosynthetic process	CNEP1R1 NR1H2 RGN SCARB1 SREBF1
GO:0010868	negative regulation of triglyceride biosynthetic process	SIK1
GO:0010869	regulation of receptor biosynthetic process	ANKRD13C FURIN HDAC2 HDAC6 HIF1A HNRNPK ITGB3 NR1D1 PPARG SEC24A
GO:0010870	positive regulation of receptor biosynthetic process	HDAC2 HDAC6 HIF1A HNRNPK
GO:0010871	negative regulation of receptor biosynthetic process	ITGB3 NR1D1 PPARG
GO:0010872	regulation of cholesterol esterification	ABCG1 LAMTOR1
GO:0010874	regulation of cholesterol efflux	ABCA12 ABCG1 EGF LAMTOR1 LRP1 NFKBIA NR1H2 SIRT1
GO:0010875	positive regulation of cholesterol efflux	ABCA12 ABCG1 LRP1 NFKBIA NR1H2 SIRT1
GO:0010876	lipid localization	STOML2
GO:0010878	cholesterol storage	SOAT1
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	CHD7 DMD
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	DMD
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	ATP2A2 DMD HDAC4 SLC9A1
GO:0010883	regulation of lipid storage	ABCG1 ABHD5 ACACB ALKBH7 CD36 ITGB3 LPL MEST NFKBIA NR1H2 OSBPL11 OSBPL8 PNPLA2 PPARG PTPN2 SCARB1 SIRT1 TMEM135
GO:0010884	positive regulation of lipid storage	ACACB CD36 LPL NR1H2 OSBPL11 SCARB1 TMEM135
GO:0010885	regulation of cholesterol storage	CD36 LPL NR1H2 PPARG SCARB1
GO:0010886	positive regulation of cholesterol storage	CD36 LPL SCARB1
GO:0010887	negative regulation of cholesterol storage	NR1H2 PPARG
GO:0010888	negative regulation of lipid storage	ABCG1 ABHD5 ITGB3 NFKBIA NR1H2 OSBPL8 PNPLA2 PPARG PTPN2
GO:0010889	regulation of sequestering of triglyceride	ABHD5 LPL OSBPL11 OSBPL8 PNPLA2 PPARG
GO:0010890	positive regulation of sequestering of triglyceride	LPL OSBPL11
GO:0010891	negative regulation of sequestering of triglyceride	ABHD5 OSBPL8 PNPLA2 PPARG
GO:0010893	positive regulation of steroid biosynthetic process	ABCG1 BMP6 DAB2 IGF1R NR1D1 POR SCP2 SREBF1
GO:0010894	negative regulation of steroid biosynthetic process	ATP1A1 BMP5 ERLIN1 INSIG1 NFKB1 REST SNAI1 SOD1
GO:0010896	regulation of triglyceride catabolic process	AADAC ABHD5 PNPLA2
GO:0010898	positive regulation of triglyceride catabolic process	AADAC ABHD5 PNPLA2
GO:0010899	regulation of phosphatidylcholine catabolic process	SCARB1
